Model,Accuracy,Precision (macro avg),Recall (macro avg),F1-score (macro avg)
SVM,0.696,0.6986356014447533,0.6960000000000001,0.6898648563109226
Logistic Regression,0.696,0.6829828830173658,0.6960000000000001,0.6807836557007443
Random Forest,0.684,0.6849111579312986,0.684,0.6791873083269494
Gradient Boosting,0.664,0.6741716656934048,0.664,0.6667991784734568
KNN,0.62,0.6345625942684766,0.6200000000000001,0.6159906931565714
Decision Tree,0.468,0.4781355311355311,0.4680000000000001,0.47025562092165096
